Load ID, Loan Grad, Exception IDs
6416041.16, 4, 1
4119264.82, 12, 1|3
6139550.9, 45, 1|2|4
1311905.64, 0, 
8509071.76, 6, 1|3
444169.9, 8, 1|3
514323.57, 4, 3
5018452.46, 0, 
8382927.32, 2, 2
4224276.56, 8, 1|3
4321329.45, 4, 1
6254535.38, 2, 3
2470466.97, 9, 1|2|3
2756302.52, 4, 1
8836625.45, 0, 
2512186.34, 0, 3
1985977.43, 14, 1|3
7495393.42, 2, 3
1582359.51, 0, 3
1903505.2, 8, 2|3
8544952.86, 2, 2
1747587.53, 8, 3
9568147.08, 10, 1|3
6327382.57, 8, 1|3
7780143.09, 4, 1
5312526.08, 14, 1|3
9960780.16, 0, 
829325.27, 0, 3
1059106.7, 6, 1|3
3670578.46, 10, 1|3
8495264.59, 4, 1
8144634.75, 4, 1
1230074.53, 18, 1|3|4
5819939.51, 1, 2
7047242.54, 6, 1|3
231505.3, 0, 
4262836.05, 6, 3
6912432.71, 44, 3|4
103079.75, 0, 
6412049.56, 5, 1|2|3
4784888.41, 4, 1
1583430.23, 32, 2|4
612402.09, 14, 1|3
8719522.19, 4, 1
9276356.5, 0, 
5136398.1, 6, 3
365297.92, 0, 
740311.35, 0, 
2356068.9, 4, 1
2512578.36, 1, 2
4804191.57, 6, 3
6007675.13, 12, 1|2|3
8914201.21, 4, 1
3779714.17, 0, 
3715441.82, 0, 
430902.6, 4, 1
6048776.47, 14, 1|3
6750127.82, 4, 1
795669.47, 8, 1|3
2010929.38, 4, 1
7042784.95, 4, 3
3557631.75, 0, 
1965619.89, 14, 1|3
2915344.24, 1, 2
6801088.45, 4, 1
7746219.27, 0, 
6764294.83, 5, 1|2
1610196.14, 0, 3
2943470.7, 8, 1|3
3660601.19, 3, 2|3
2931047.34, 0, 
4049749.04, 6, 3
2158003.22, 0, 
5231829.75, 4, 1
3653949.64, 0, 3
3976537.26, 14, 1|3
5526307.78, 10, 3
3680176.65, 14, 1|3
7897674.0, 0, 
1169473.13, 34, 1|4
687197.35, 3, 2|3
1678959.17, 7, 1|4
8766277.81, 6, 1|3
8822995.17, 4, 1
7527511.74, 4, 1
6745308.44, 4, 1
6053927.9, 10, 3
8827077.05, 4, 1|3
8244521.2, 4, 1
6246057.03, 0, 
7449905.27, 4, 1
508085.86, 2, 3
2566808.71, 8, 1|3
293012.5, 4, 1
6021885.26, 54, 1|4
5847183.61, 4, 1
140257.56, 2, 3
3667093.07, 5, 1|2
7601010.16, 0, 
8252718.56, 8, 3
9565467.02, 0, 
4390159.92, 0, 
6546706.08, 4, 1
9433556.82, 3, 2|3
5730002.16, 0, 
2589729.06, 4, 3
2149744.82, 8, 2|3
7148229.53, 62, 2|4
4801327.62, 0, 
9821349.79, 4, 3
6123724.81, 60, 1|3|4
7839991.38, 12, 1|3
712817.89, 10, 1|3
4035026.27, 0, 
263469.82, 4, 1
347699.84, 5, 2|3
5854000.01, 5, 1|2
9525452.46, 4, 1|3
5113378.68, 10, 1|3
8906809.7, 10, 3
8728379.42, 12, 1|3
893048.91, 4, 1
1603686.23, 0, 
7313492.31, 5, 1|2
6926289.62, 8, 2|3
2783713.17, NaN, 1|3|4
3127487.31, 5, 1|2
145632.1, 8, 3
7361612.78, 4, 1
171938.05, 2, 3
5749415.96, 4, 1
1638012.32, 4, 3
3574759.08, 13, 2|3
1371436.75, 20, 4
95062.15, 4, 1
7835723.31, 4, 1
4714034.19, 4, 3
861927.22, 0, 
144616.68, 4, 1|3
1567144.16, 3, 2|3
8100335.72, 0, 
5515238.77, 4, 3
1863379.95, 4, 1|3
9375418.15, 14, 1|3
7999113.59, 5, 1|2
822683.34, 10, 3
165740.13, 10, 3
8871386.39, 0, 
1068567.88, 0, 
5759950.73, 10, 3
2969060.56, 6, 3
4184638.38, 4, 1
2567314.1, 10, 1|3
7060750.21, 6, 1|3
1467185.21, 0, 
9510262.25, 8, 1|3
6611333.19, 4, 1
3279433.32, 8, 3
2089262.8, 0, 
411410.94, 4, 1
4417549.01, 4, 1
5188081.75, 14, 1|3
8191332.99, 10, 2|3
3345545.87, 3, 2
8733975.1, 7, 1|2|3
13820.74, 2, 3
330694.78, 49, 1|2|3|4
8150287.45, 0, 
2344840.29, 4, 1|3
2492033.33, 0, 
5817379.44, 4, 1
606682.66, 6, 1|2
9892253.64, 2, 3
1180120.01, 6, 1|3
9959442.73, 6, 1|3
7851444.27, 4, 1
433403.37, 14, 1|3
4043034.19, 0, 3
8372500.13, 4, 3
9674724.5, 0, 
6121194.29, 6, 1|3
3106944.81, 10, 2|3
1865433.19, 0, 3
4326611.89, 6, 3
5736437.44, 5, 1|2
1256170.59, 4, 1
8618156.87, 6, 1|3
5032897.3, 0, 
1071976.78, 12, 1|3
9417059.85, 2, 3
3697000.0, 4, 1
3584225.18, 0, 
5358862.94, 4, 1
2585831.58, 24, 1|4
5717300.95, 4, 1|3
920340.93, 10, 3
8016484.05, 4, 1
5422127.04, 5, 1|2
2416869.14, 8, 1|3
9850849.86, 4, 1
3354949.41, 14, 1|3
7489185.38, 12, 1|3
9940060.04, 4, 1
5013632.79, 13, 2|3
4008902.14, 5, 1|2
3101096.04, 4, 1
4493964.55, 12, 1|3
9087748.63, 0, 
9720656.82, 4, 3
3106844.72, 4, 3
5690676.89, 6, 3
9193024.27, 4, 1
4418491.54, 4, 1|3
5781221.9, 7, 1|2|3
3812832.48, 10, 3
3070892.95, 4, 3
3696623.79, 4, 1
8903467.7, 4, 1
6631459.58, 52, 1|3|4
444746.81, 0, 
7839161.58, 2, 3
4363527.7, 1, 2
1738270.59, 2, 3
8745375.86, 2, 3
1221927.26, 2, 3
7041614.75, 0, 
6379179.35, 2, 3
7324392.72, 4, 1
5042825.56, 4, 1
3927956.13, 4, 3
1248299.39, 14, 1|3
5533287.31, 0, 
7900702.48, 0, 
2992011.99, 3, 2|3
5170777.34, 7, 1|2
476671.13, 4, 1
7431845.08, 8, 1|3
8430426.34, 7, 1|2
6171985.23, 0, 
3963237.47, 4, 1
6311810.38, 0, 
2554077.17, 4, 1
14977.78, 7, 1|2
4195289.47, 0, 
1387872.27, 4, 1
9918559.23, 6, 3
4852651.17, 2, 3
3930106.1, 0, 3
5438811.36, 14, 1|3
7896622.64, 0, 
5280446.89, 9, 1|2|3
849865.29, 0, 3
2435476.06, 12, 1|3
9570270.84, 4, 1
2906620.73, 0, 
1010326.7, 4, 1
9074650.9, 4, 1
3164554.74, 0, 
2269184.4, 6, 1|3
4329793.94, 0, 
1930482.21, 0, 
6292726.31, 10, 3
2614306.93, 6, 3
8486429.32, 12, 1|3
5279426.7, 4, 1
4418364.45, 6, 3
4334949.35, 4, 1
8487199.1, 6, 3
7138262.52, 4, 1|3
3667158.55, 10, 2|3
2440155.82, 4, 1
3880622.02, 4, 1
9071150.89, 1, 2
9805062.45, 10, 3
7657801.28, 4, 1
5853169.38, 0, 4
4147460.37, 6, 1|2
8930993.46, 4, 1
225560.85, 4, 1
9217063.4, 0, 
6826990.01, 0, 
6677791.83, 17, 1|2|3
811365.85, 4, 1|3
5121525.28, 0, 
885190.88, 12, 1|2|3
4611994.52, 8, 1|3
637751.06, 5, 1|2
1447719.27, 4, 1
3285900.38, 6, 1|2
2702544.18, 8, 3
7681571.62, 50, 4
8033107.99, 3, 2
8659530.01, 0, 
3280323.02, 2, 3
342099.62, 56, 3|4
2241320.51, 8, 1|3
1322144.45, 0, 
3776932.33, 12, 1|2|3
8911342.83, 2, 2
469133.4, 54, 1|4
7083436.94, 0, 3
3911660.1, 9, 1|4
6255977.09, 6, 1|2
2642362.86, 12, 1|3
7714353.85, 4, 1
4774169.92, 6, 1|3
3676921.31, 6, 1|3
2040583.54, 4, 1
8086675.76, 4, 1
1873604.97, 0, 
4873029.0, 4, 3
9630708.78, 12, 1|2|3
6251083.93, 4, 1
8294526.79, 0, 
3310650.39, 0, 
7415357.15, 5, 1|2
5227298.78, 0, 
4445131.27, 4, 1
8924589.88, 14, 1|3
1401528.26, 6, 1|2
7969661.71, 4, 1
9829336.43, 14, 1|2|3
5967775.02, 22, 3|4
2800947.54, 10, 3
4271515.35, 0, 3
2396528.31, 4, 1
4890302.61, 5, 1|4
8368623.18, 0, 
258216.86, 10, 3
2834505.04, 2, 2
5414699.5, 12, 1|3
4463207.92, 4, 1
2632311.88, 8, 1|3
4248383.15, 6, 1|3
4518071.69, 8, 3
7353139.26, 3, 2
9915700.78, 5, 1|2
3227645.68, 8, 1|3
9203853.98, 0, 
325896.24, 0, 
457182.02, 0, 
972666.48, 4, 1|3
4101861.73, 4, 1
6816497.79, 0, 
9995637.28, 4, 1|3
8346135.87, 4, 1|3
7224441.36, 8, 1|3
8566114.97, 4, 1
6645235.28, 13, 2|3
877658.77, 4, 1|3
6267426.47, 6, 3
9478756.48, 4, 1
4313263.83, 4, 1
5963525.06, 0, 
9125532.51, 10, 3|4
2350420.77, 4, 1
8499892.91, 4, 1
5189791.7, 0, 3
2847207.8, 2, 3
5941525.13, 0, 3
1221872.11, 4, 1
9061125.55, 2, 3
4706986.22, 7, 1|2|3
2273964.78, 2, 3
5841191.87, 4, 1
7699900.52, 4, 1
5412108.33, 6, 1|3
1286165.6, 0, 
5092934.46, 6, 1|2
6264284.7, 14, 1|3
2592797.04, 4, 1|3
624462.41, 7, 1|2|3
6240451.35, 0, 
9245353.51, 0, 3
7721974.43, 2, 3
9386346.22, 14, 1|3
3200599.62, 0, 
1702581.14, 0, 
7942735.5, 4, 1
2052288.15, 0, 
5528697.46, 68, 3|4
5096157.47, 4, 1|3
6190223.98, 14, 1|2|3
5867860.29, 5, 1|2|3
2324807.14, 0, 
2975570.7, 6, 3
437810.15, 4, 1
4030969.86, 2, 3
5584356.28, 4, 3
6254573.45, 2, 3
569833.08, 4, 1
6826586.5, 8, 2|3
1854009.09, 0, 
6968738.34, 4, 1
824141.73, 12, 1|3
3391352.59, 4, 1
4437502.39, 4, 1|3
6096852.44, 4, 3
9149088.22, 14, 1|3
7599054.02, 8, 1|3
2379935.87, 17, 1|2|3
9804475.78, 2, 3
4795046.49, 5, 1|2
9567076.59, 0, 
2850547.42, 6, 3
3699268.24, 0, 
6419088.36, 4, 1
4567004.33, 7, 1|2|3
8340184.94, 0, 
7992329.73, 8, 3
7680126.11, 0, 
4803000.23, 2, 3
4856390.15, 0, 
8050836.2, 5, 1|2|3
6301749.16, 0, 3
146629.53, 5, 1|2
6008053.49, 0, 3
5373520.24, 3, 2
6099380.81, 0, 3
3597418.02, 10, 2|3
7622049.26, 6, 1|3
4376014.65, 10, 3
5714285.86, 4, 1
24953.75, 12, 1|3
4536729.24, 0, 
145278.53, 8, 3
8721393.55, 0, 3
7194313.51, 10, 3
6562179.13, 6, 1|3
9187677.97, 0, 
6810940.77, 0, 3
7045965.74, 6, 1|3
2677243.91, 4, 1
9545862.55, 10, 3
5419389.99, 0, 
7158473.88, 5, 1|2|3
7356852.7, 6, 3
4097120.66, 4, 3
2054527.55, 6, 1|3
6466623.37, 54, 1|4
7102013.61, 6, 3
4227547.26, 0, 
3694154.66, 5, 1|2
1786958.31, 0, 
805392.62, 13, 2|3
2512210.93, 0, 
1537829.09, 5, 1|2
2559357.78, 4, 1
6604630.2, 0, 
9891179.71, 2, 2
6332017.86, 7, 1|4
1441282.71, 0, 
4058517.13, 4, 1
2920827.25, 8, 1|3
2826637.04, 0, 
2024793.78, 4, 1
4115030.24, 0, 
4009440.21, 0, 
7098100.52, 10, 1|3
4158875.87, 12, 1|3
7641395.08, 14, 1|3
1294580.91, 14, 1|3
1757744.01, 5, 1|2
6920912.9, 12, 1|3
1197764.8, 0, 3
8461777.08, 3, 2
851856.03, 4, 1
3966942.14, 4, 1
3099534.07, 5, 1|2|3
9292127.43, 4, 1
7705008.02, 4, 1
9281689.71, 4, 1
4029534.41, 1, 2|3
6995196.76, 0, 
4795527.52, 1, 2
5604141.18, 9, 1|2|3
7176220.75, 5, 1|2|3
3946044.13, 4, 1
840245.64, 4, 1
3229356.69, 4, 1
2378501.36, 0, 
4899640.91, 6, 1|3
4532188.49, 12, 1|3
6112319.36, 4, 1
362688.05, 4, 1|3
4091328.26, 0, 
9063404.2, 5, 2|3
8185525.02, 4, 1
102201.39, 0, 
5579920.85, 6, 1|3
9124823.6, 14, 1|3
9371903.41, 4, 1
941016.92, 10, 3
3181257.92, 7, 1|2
431720.29, 2, 3
8985004.05, 4, 1
7907941.18, 10, 3
5927361.23, 0, 3
121173.2, 0, 3
8186006.56, 0, 
1853927.39, 0, 
4009162.46, 0, 
4699935.6, 4, 1
9876642.77, 13, 2|3
8962740.1, 0, 
6464440.26, 7, 1|2
4887593.26, 1, 2
8935091.17, 4, 1
7398490.72, 4, 1|3
9404090.05, 5, 1|2|3
283194.5, 4, 1
175394.25, 4, 3
5143319.18, 4, 1
2995805.69, 0, 
6586857.08, 10, 3
3189914.42, 8, 1|3
9805471.58, 10, 3
4545373.69, 4, 1
1645148.5, 0, 
6810138.17, 8, 3
46827.69, 0, 
7698494.85, 4, 1
835325.3, 30, 4
2113969.52, 13, 2|3
2362644.64, 5, 1|2
8931105.07, 12, 1|2|3
4765606.76, 0, 
683719.81, 6, 3
2495887.54, 14, 1|3|4
7838493.67, 4, 1|3
3642707.64, 19, 1|2|4
4154998.9, 2, 3
4656935.52, 6, 1|3
5084681.26, 4, 1
6403693.41, 6, 3
6614355.98, 0, 
1949186.67, 0, 
6551373.17, 0, 3
134051.92, 0, 
6371318.83, 4, 1|3
1236749.8, 13, 2|4
2899317.36, 4, 1
1744976.95, 5, 1|2
782799.53, 4, 1|3
7528048.85, 12, 1|3
4047429.1, 8, 1|3
2402578.3, 4, 1
8641230.25, 4, 1
2975350.73, 48, 1|3|4
6337145.57, 12, 1|3
8995648.42, 10, 3|4
3611966.48, 6, 1|3
8883130.76, 0, 
2427529.79, 8, 1|3
5945767.74, 3, 2
6736639.89, 4, 1|3
2571710.06, 2, 3
2965564.43, 10, 3
5815831.26, 0, 
3655351.93, 5, 2|3
9256094.6, 10, 1|3
6990542.6, 4, 1
6983388.65, 0, 
5249273.47, 14, 1|3
9354129.38, 6, 1|2
9262843.38, 8, 3
2604637.94, 10, 3|4
7818847.58, 5, 4
2656455.02, 0, 
1910896.35, 6, 3
682818.62, 4, 1
6407818.03, 14, 1|3
8948646.13, 5, 1|2
4138830.95, 4, 1
4008844.12, 4, 1
8271785.49, 4, 3
5457191.99, 1, 2
1935214.14, 4, 3
3425524.48, 12, 1|3
2043914.27, 0, 
7061189.08, 14, 1|3
8904380.4, 6, 3
273825.52, 0, 
4313004.28, 4, 1
4304320.1, 0, 
23966.7, 17, 1|2|3
5137985.32, 10, 2|3
7537774.16, 10, 2|3
8493654.13, 6, 3
897702.11, 6, 3
3587339.41, 8, 1|3
4209616.05, 5, 1|2
9448945.16, 6, 1|3
6134559.91, 4, 1
8565710.89, 50, 2|3|4
9358059.63, 10, 1|3
9229368.7, 8, 3
8500463.66, 8, 3
4905393.99, 14, 1|3
2271033.38, 4, 1
6669103.02, 2, 3
5222635.34, 8, 3
9605839.99, 1, 2
1060525.1, 6, 1|2
6293169.7, 17, 1|2|3
9026731.55, 3, 2|3
77639.06, 10, 4
6306215.36, 7, 1|2
1598341.4, 0, 
3671237.93, 14, 1|3
2873452.98, 12, 1|3
2657659.16, 4, 1|3
4088259.01, 22, 3|4
5626778.23, 0, 
4737288.94, 0, 
4650461.1, 5, 2|3
8891804.99, 4, 1|3
9533611.94, 4, 1
4945430.27, 14, 1|3
6198756.96, 9, 1|2|3
9163803.3, 4, 1|3
5492633.83, 1, 2|3
5685056.96, 0, 
6891842.57, 4, 1|3
5271871.86, 4, 1
6758337.38, 14, 1|3
312500.29, 0, 
1451613.16, 4, 1
2082823.69, 5, 1|2|3
7600970.32, 10, 3
2623586.56, 8, 3
7523768.99, 12, 1|2|3
1519773.84, 4, 1
25728.48, 0, 
3356884.03, 6, 1|2
2232286.25, 0, 
6263397.6, 4, 1
1258356.6, 80, 4
5963565.28, 4, 1|3
7994696.4, 12, 1|3
2839961.01, 2, 3
78451.19, 4, 1
6832251.9, 6, 3
9763444.67, 0, 
8172146.06, 8, 2|3
1041866.17, 8, 3
607184.58, 4, 1
3757632.68, 6, 1|3
7129690.03, 4, 1
6131176.74, 0, 
5368266.51, 0, 3
4082064.35, 4, 1
4946948.64, 8, 3
1912283.66, 0, 
1099340.7, 14, 1|3
9918903.7, 4, 1|3
2345996.11, 24, 1|4
7696998.78, 4, 1
5292877.25, 12, 1|3
7660280.45, 10, 1|3
1208029.98, 4, 1
2626533.24, 8, 1|3
7797854.8, 3, 2|3
3915918.89, 10, 3
5458780.42, 6, 3
4903445.93, 5, 2|3
5237167.1, 0, 
9393784.45, 14, 1|3
8842556.31, 4, 1
1002342.71, 6, 3
9182128.88, 12, 1|3
3545833.1, 4, 1
2943729.88, 4, 1|3
3602702.84, 0, 
8415610.35, 2, 3
7644141.67, 8, 3
5526517.17, 4, 1
2148263.82, 5, 1|2
4131921.09, 2, 3
1183242.11, 7, 1|2
521044.55, 4, 1
7413934.19, 9, 1|2|3
572704.98, 4, 1
3036222.54, 2, 2
6191205.87, 6, 3
4718967.18, 14, 1|3
9313857.51, 10, 1|3
2330913.43, 6, 1|3
1852720.62, 6, 1|3
8200551.98, 14, 1|3
8116941.26, 7, 1|2
1949798.67, 4, 1
7914280.68, 0, 
9870177.58, 4, 1
4374784.79, 6, 1|3
478594.83, 0, 
7738047.82, 64, 1|3|4
9963360.43, 0, 
3558766.82, 4, 1
7206685.2, 4, 1
8642807.05, 0, 
9395045.93, 4, 1
4118434.64, 4, 1
738963.38, 5, 1|2
1765997.34, 6, 3
9577044.42, 4, 1
4803392.11, 4, 1|3
5144818.88, 0, 
4718775.68, 4, 1
6946556.74, 44, 1|4
8258752.65, 4, 1
4037176.58, 7, 1|2|3
36166.43, 4, 1|3
8995911.5, 4, 1
8359507.79, 1, 2
1441823.2, 0, 
8465490.84, 0, 
1044191.67, 2, 2
7901451.51, 10, 3
9027289.31, 6, 1|3
6968985.24, 70, 2|3|4
9780507.64, 4, 1
3864481.22, 0, 
1232129.56, 0, 
4151700.46, 34, 1|4
140954.82, 14, 1|2|3
9951036.7, 10, 2|3
4443711.29, 12, 1|3
6049264.09, 8, 1|3
7469836.7, 6, 3
277548.54, 44, 1|4
7303588.68, 6, 3
2073611.4, 6, 1|3
8347088.48, 8, 3
3361765.59, 5, 1|2
51189.59, 72, 1|3|4
2289542.63, 10, 3|4
803879.39, 0, 
323776.52, 8, 3
9059728.0, 0, 
3547706.38, 10, 3
848764.69, 4, 1
2945757.51, 3, 2
9021129.85, 0, 3
5757890.77, 6, 1|3
2117626.93, 6, 1|3
8295184.66, 4, 1
6567093.03, 7, 1|2|3
752799.36, 0, 
9847738.2, 12, 1|3
7439993.59, 4, 1
7482987.54, 2, 2
5925195.25, 1, 2
5784016.66, 8, 3
9067924.35, 14, 1|3
962201.09, 6, 1|3
9152226.44, 4, 1
4160468.8, 0, 
1632745.92, 0, 
8739737.89, 0, 
1333340.85, 0, 
5653388.77, 12, 1|3
9681153.08, 4, 3
3743534.47, 10, 3
1579778.53, 4, 1|3
4179007.17, 4, 1
8510468.59, 37, 1|2|4
7114268.14, 8, 3
6129144.98, 4, 1
2979512.57, 6, 3
108789.29, 4, 1
60627.9, 4, 1
2206857.27, 4, 1
3858603.58, 14, 1|3
9066647.9, 6, 1|3
2180922.38, 4, 1|3
6508786.13, 8, 3
1025088.25, 4, 1
5073915.36, 0, 
5041276.73, NaN, 2|4
5082487.96, 64, 1|4
6733211.64, 8, 1|3
5093337.92, 4, 1
4111493.57, 4, 1
5535821.1, 6, 3
8825229.13, 2, 3
4273862.87, 8, 3
1692486.31, 4, 1
2316200.27, 0, 
2941909.04, 10, 3
6574515.4, 1, 2
8356714.13, NaN, 1|4
9918219.86, 6, 1|3
7607714.76, 10, 3
3608972.53, 14, 1|4
2487764.68, 1, 2|3
3571766.81, 0, 
7943943.44, 6, 3
2597869.66, 0, 3
3014227.28, 1, 2
3327773.53, 0, 
8566126.22, 8, 1|3
7599482.76, 4, 1
7835486.23, 2, 3
7475280.22, 4, 1|3
2091919.02, 6, 1|3
4083193.74, 0, 3
4532926.87, 6, 1|3
3600817.71, 1, 2
2583260.87, 0, 
1885260.39, 0, 
1711390.61, 36, 3|4
9353244.94, 10, 1|3
5084626.67, 48, 3|4
6396252.27, 4, 1
4318178.58, 8, 3
4974269.94, 8, 3
9996622.72, 4, 1|3
9805132.63, 14, 1|3
8624474.23, 8, 2|3
7476046.15, 0, 
5197799.24, 10, 4
7464185.63, 30, 3|4
3793583.73, 0, 3
5264676.37, 0, 3
972158.94, 0, 
6900749.74, 4, 1
3096008.17, 10, 3
4410085.1, 0, 
1897269.23, 0, 
7496680.34, 5, 1|2|3
6687078.76, 12, 1|3
5148978.09, 8, 1|3
7149413.76, 0, 
1645205.64, 4, 1
8432235.85, 5, 1|2|3
793127.52, 10, 1|3
9173485.9, 10, 1|3
8826456.43, 0, 
3106338.2, 0, 3
4675661.64, 10, 1|3
142206.45, 4, 1
6544127.95, 4, 1
7868977.74, 4, 1
3048185.12, 4, 1|3
6549511.43, 2, 2
383199.22, 4, 1
3959958.26, 0, 
5253669.26, 3, 2
2547069.3, 4, 3
9532144.92, 4, 1
5304384.5, 10, 1|3
4014635.2, 0, 
9209833.04, 4, 1|3
3396761.83, 14, 1|3
8217189.28, 2, 3
1636904.73, 1, 2
6744071.07, 6, 1|3
9451699.51, 12, 1|3
7693350.44, 14, 1|3
1183939.71, 2, 3
5474057.28, 0, 
4524251.15, 17, 1|2|3
7595671.84, 0, 
6815735.87, 5, 1|4
6497321.78, 14, 1|3
9374985.5, 10, 1|3
2591935.8, 0, 
9410519.71, 0, 
4638769.19, 7, 1|2|3
3380301.18, 0, 
1833287.88, 54, 1|4
2331923.15, 4, 1
839219.65, 5, 1|2
3257578.66, 4, 1
3681818.61, 10, 2|3
8517399.37, 0, 3
3431364.23, 4, 1
5637603.27, 4, 1
5066682.84, 4, 1|3
812142.32, 2, 2
291045.54, 0, 
8287293.43, 0, 
835890.0, 6, 3
6602190.27, 2, 2
5410285.42, 4, 3
6120286.89, 56, 1|2|4
3699017.69, 10, 1|3
5962784.63, 4, 1
7550645.68, 4, 1
2615209.06, 2, 3
9538199.08, 16, 1|3|4
6757807.4, 8, 1|3
1486981.15, 4, 1
722548.55, 14, 1|3
8436202.7, 4, 3
2606380.59, 6, 3
4587989.22, 4, 1
2802819.04, 4, 1
7839440.14, 12, 1|2|3
619616.14, 3, 2
3030070.97, 14, 1|3
5802480.67, 0, 3
1700376.66, 10, 1|3
1065280.15, 6, 1|2
2763407.33, 4, 1
2613832.74, 0, 
1165263.65, 2, 3
84841.29, 4, 1
7035104.2, 4, 1|3
7523508.0, 4, 1|3
2157688.37, 4, 1
978332.74, 6, 1|3
6441568.99, 12, 1|3
593691.6, 2, 2
1411797.14, 6, 3
3169834.73, 4, 1
8762205.56, 1, 2
2441307.68, 4, 1
2128294.34, 12, 1|2|3
9973752.6, 12, 1|2|3
671171.48, 2, 3
7966117.05, 4, 1
418768.58, 5, 1|2
1694674.96, 12, 1|3
8114665.01, 0, 
1769482.19, 4, 1
5416609.67, 6, 3
9604866.39, 4, 1
6450303.5, 5, 1|2|3
3531668.79, 0, 
5529496.53, 4, 1
8141024.51, 0, 
9644322.24, 6, 1|3
2248589.82, 14, 1|3
6069038.71, 4, 3
7375875.65, 5, 1|2
6685041.1, 0, 
250351.63, 4, 1
4946620.95, 1, 2
3302707.89, 0, 
1074283.36, 10, 1|3
3845097.04, 0, 
4550121.21, 4, 1
1718533.41, 14, 1|2|3
5682626.69, 6, 3
9331242.95, 4, 1
1099105.32, 6, 3
9340033.35, 13, 2|4
2365564.44, 8, 3
9900981.66, 40, 1|3|4
9218212.95, 0, 
5383863.0, 0, 
1479693.64, 10, 3
4613524.27, 0, 
5281594.27, 4, 1|3
3698549.77, 2, 2
5868306.18, 10, 3
6403493.09, 10, 3
5299786.7, 6, 1|3
9091466.03, 0, 
2408039.55, 6, 3
8366344.21, 9, 1|2|3
8073167.52, 0, 
4819965.19, 7, 1|2
6557767.9, 10, 3
9418305.75, 8, 1|3
5795437.51, 0, 3
6954986.6, 33, 1|3|4
34411.61, 4, 1
9112918.38, 4, 1
4808559.45, 4, 1|3
8297607.35, 4, 1
201157.39, 8, 2|3
7300272.85, 4, 1|3
1735804.47, 2, 3
3765509.99, 14, 1|3
9782174.58, 8, 2|3
4108601.0, 4, 1
9572833.93, 5, 1|2|3
5092583.41, 12, 1|3
448221.4, 2, 3
8285579.24, 4, 1
5779202.11, 14, 1|3
4567654.54, 5, 2|3
8505615.97, 0, 
9092949.58, 4, 1
5702314.9, 0, 
3173578.63, 0, 
7358012.67, 0, 
4366609.28, 14, 1|3
5451425.73, 10, 3
8781200.61, 10, 3
8101667.52, 6, 1|2
914449.05, 4, 3
4346669.82, 0, 
5234720.72, 5, 2|3
9882163.88, 4, 3
7878945.34, 0, 
6888973.96, 12, 1|3
9310354.57, 4, 1
9046661.07, 68, 3|4
5471883.63, 4, 1|3
8081139.3, NaN, 1|4
3687262.65, 8, 1|3
9382382.61, 5, 2|3
8275418.89, 6, 1|3
6858869.66, 0, 
5160346.23, 4, 1
6508442.18, 8, 3
3829921.86, 2, 3
5434092.97, 0, 
9693806.62, 4, 1
